agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,75,100,acceptance_rate,0.26564731
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,75,100,accumulated_reward,7.52
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,75,100,available_budget,44.14
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,75,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,76,100,acceptance_rate,0.26525923
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,76,100,accumulated_reward,7.62
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,76,100,available_budget,44.07
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,76,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,77,100,acceptance_rate,0.26487518
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,77,100,accumulated_reward,7.67
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,77,100,available_budget,44.02
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,77,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,78,100,acceptance_rate,0.26561703000000003
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,78,100,accumulated_reward,7.8
